Method,Latency,Accuracy,Size (MB),Throughput,Score,Meta_Pred,Best,Dataset_Size,Num_Features
Pruning,0.10043503522872925,0.7691412172406324,0.7864185333251953,367760.1139471152,0.7934124415315095,0,0,36936,1
Distillation,0.08811153173446656,0.7537583928958198,0.6740730285644531,419195.9811947266,0.6458297252968355,1,0,36936,1
Baseline,0.12201972007751465,0.7691412172406324,1.1234064102172852,302705.1691032885,0.31250000000000006,0,0,36936,1
Quantization,0.09624141693115235,0.7691412172406324,0.5617275238037109,383784.87326742796,0.9228530572255441,1,1,36936,1
Pruning,0.10389286994934081,0.7691412172406324,0.7864185333251953,355520.0661798096,0.715832028502987,0,0,36936,1
Distillation,0.09161564111709594,0.7537583928958198,0.6740730285644531,403162.5991984414,0.6458297252968355,1,0,36936,1
Baseline,0.13658509254455567,0.7691412172406324,1.1234064102172852,270424.8268378999,0.31250000000000006,0,0,36936,1
Quantization,0.11477806091308594,0.7691412172406324,0.5617275238037109,321803.65921993804,0.74276195035234,0,0,36936,1
Pruning,0.12459099769592284,0.7691412172406324,0.7864185333251953,296458.016093154,0.5578117866072527,0,0,36936,1
Distillation,0.09157100915908814,0.7537583928958198,0.6740730285644531,403359.1017418007,0.6458297252968355,1,1,36936,1
